Title,Genres,Actors,Directors,Synopsis,Rating
Venom: The Last Dance,"Action, Science Fiction, Adventure","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Kelly Marcel,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",6.782
Z Zone,Horror,"Bilguun Chuluundorj, Purevjargal Erdenebileg, Bazarragchaa Byambajav",Bilguun Chuluundorj,"In a remote corner of the world, a group of troubled youths finds themselves whisked away to a mysterious military base after a series of misbehaviors. Expecting little more than a stern reprimand, they are instead thrust into a world of secrets and shadows.  In a desperate bid for freedom, they must unravel the mysteries of the base and confront the sinister forces that lurk in the shadows. But with time running out and danger lurking around every corner, the odds of survival grow slimmer by the minute.  Courage, strength, and sacrifice, would they finally escape the clutches of the base and emerge from the darkness into the light?",6.733
Holland,"Thriller, Mystery","Nicole Kidman, Gael García Bernal, Matthew Macfadyen",Mimi Cave,"Nancy, a teacher whose life with her husband in Holland, Michigan, tumbles into a twisted tale when she and her colleague become suspicious of a secret.",5.364
Peacemaker Kurogane: Belief,"Animation, History, Action, Drama, Fantasy, Romance","Jouji Nakata, Yuji Ueda, Mitsuki Saiga",Shigeru Kimiya,"Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge leads him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind, and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group.",5.167
Banger,"Comedy, Music","Vincent Cassel, Yvick Letexier, Laura Felpin",So-Me,"When cops recruit a has-been DJ to bust a quirky criminal gang with ties to his rival, he spots a chance to mix his way back to the top with a banger.",4.2
Novocaine,"Action, Comedy, Thriller","Jack Quaid, Amber Midthunder, Ray Nicholson","Dan Berk, Robert Olsen","When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",6.97
The Monkey,"Horror, Comedy","Theo James, Tatiana Maslany, Christian Convery",Osgood Perkins,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",5.86
Squad 36,"Action, Crime, Drama, Thriller","Victor Belmondo, Tewfik Jallab, Soufiane Guerrab",Olivier Marchal,"Forced out of his elite unit, a troubled cop launches his own rogue investigation when mysterious killings claim the lives of his former colleagues.",6.336
Panda Plan,"Action, Comedy","Jackie Chan, Shi Ce, Wei Xiang",Zhang Luan,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",7.0
"Robotia, la película","Animation, Adventure","Annabel Gallardo, Ariel Cister, Ana María Picchio","Diego Lucero, Diego Cagide",,6.0
Flow,"Animation, Fantasy, Adventure",,Gints Zilbalodis,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.241
Love Hurts,"Action, Comedy, Romance","Ke Huy Quan, Ariana DeBose, Daniel Wu",Jonathan Eusebio,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",5.938
Memoir of a Snail,"Animation, Drama, Comedy","Sarah Snook, Kodi Smit-McPhee, Jacki Weaver",Adam Elliot,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",8.0
Gladiator II,"Action, Adventure, Drama","Paul Mescal, Denzel Washington, Pedro Pascal",Ridley Scott,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",6.8
Companion,"Horror, Thriller, Science Fiction","Sophie Thatcher, Jack Quaid, Lukas Gage",Drew Hancock,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",7.076
Deadpool & Wolverine,"Action, Comedy, Science Fiction","Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.608
Despicable Me 4,"Animation, Family, Comedy, Science Fiction","Steve Carell, Kristen Wiig, Will Ferrell",Chris Renaud,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.054
The Wild Robot,"Animation, Science Fiction, Family","Lupita Nyong'o, Pedro Pascal, Kit Connor",Chris Sanders,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",8.333
Solo Leveling -ReAwakening-,"Action, Adventure, Fantasy, Animation","Taito Ban, Genta Nakamura, Haruna Mikawa",Shunsuke Nakashige,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",6.949
Puri for Rent,"Drama, Romance","Aiko Garcia, Van Allen Ong, Marlon Marcia",,"Aiko Garcia plays a desperate woman thrust into an unusual job. In desperate need of money after getting fired, Nancy finds herself accepting a job as a young and rich disabled man’s sexual partner. But can she let go of her dignity when the sex leads to love?",10.0
